Modelo,Pooling,out_emb_size,Nhid,CR
modernbert-base,CLS_LYR-22,torch.Size([768]),0,"{'devacc': np.float64(69.9), 'acc': np.float64(65.69), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,AVG_LYR-22,torch.Size([768]),0,"{'devacc': np.float64(76.67), 'acc': np.float64(74.78), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,SUM_LYR-22,torch.Size([768]),0,"{'devacc': np.float64(74.34), 'acc': np.float64(73.38), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,MAX_LYR-22,torch.Size([768]),0,"{'devacc': np.float64(63.84), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,AVG-NS_LYR-22,torch.Size([768]),0,"{'devacc': np.float64(76.77), 'acc': np.float64(73.85), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,SUM-NS_LYR-22,torch.Size([768]),0,"{'devacc': np.float64(74.34), 'acc': np.float64(73.01), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,MAX-NS_LYR-22,torch.Size([768]),0,"{'devacc': np.float64(63.97), 'acc': np.float64(63.71), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,CLS+AVG_LYR-22,torch.Size([1536]),0,"{'devacc': np.float64(77.54), 'acc': np.float64(72.56), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,CLS+SUM_LYR-22,torch.Size([1536]),0,"{'devacc': np.float64(76.11), 'acc': np.float64(74.99), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,CLS+MAX_LYR-22,torch.Size([1536]),0,"{'devacc': np.float64(64.37), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,CLS+AVG-NS_LYR-22,torch.Size([1536]),0,"{'devacc': np.float64(77.8), 'acc': np.float64(73.67), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,CLS+SUM-NS_LYR-22,torch.Size([1536]),0,"{'devacc': np.float64(76.23), 'acc': np.float64(74.3), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,CLS+MAX-NS_LYR-22,torch.Size([1536]),0,"{'devacc': np.float64(64.5), 'acc': np.float64(64.13), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,DY3_LYR-22,torch.Size([2304]),0,"{'devacc': np.float64(78.7), 'acc': np.float64(77.11), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,DY3-NS_LYR-22,torch.Size([2304]),0,"{'devacc': np.float64(78.34), 'acc': np.float64(76.77), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,DY5_LYR-22,torch.Size([3840]),0,"{'devacc': np.float64(79.48), 'acc': np.float64(77.85), 'ndev': 3775, 'ntest': 3775}"
modernbert-base,DY5-NS_LYR-22,torch.Size([3840]),0,"{'devacc': np.float64(78.73), 'acc': np.float64(76.61), 'ndev': 3775, 'ntest': 3775}"
